77673,U1604H-9C01,PVC,CMR,NS,Audio,Multi-Cond,4,16,(65/34),STR,White,Speed Bag,100,,,0.2240,3.1675, 
77674,U1604H-9C025,PVC,CMR,NS,Audio,Multi-Cond,4,16,(65/34),STR,White,Speed Bag,250,,,0.2240,7.9186, 
77693,U1402H-0B5,PVC,CMR,NS,Audio,Multi-Cond,2,14,(41/30),STR,Black,Box,500,,,0.3060,12.1944,60
77011,U1402H-4B5,PVC,CMR,NS,Audio,Multi-Cond,2,14,(41/30),STR,Yellow,Box,500,,,0.3060,12.1944,60
77010,U1402H-9B5,PVC,CMR,NS,Audio,Multi-Cond,2,14,(41/30),STR,White,Box,500,20.94,9.5,0.3060,12.1944,60
77169,U1402H-9S1,PVC,CMR,NS,Audio,Multi-Cond,2,14,(41/30),STR,White,Spool,1000,,,0.3060,25.8880,60
77675,U1402H-9C01,PVC,CMR,NS,Audio,Multi-Cond,2,14,(41/30),STR,White,Speed Bag,100,,,0.3060,2.5889,60
77694,U1404H-0B5,PVC,CMR,NS,Audio,Multi-Cond,4,14,(41/30),STR,Black,Box,500,,,0.3470,24.3888,36
77013,U1404H-4B5,PVC,CMR,NS,Audio,Multi-Cond,4,14,(41/30),STR,Yellow,Box,500,,,0.3470,24.3888,36
77012,U1404H-9B5,PVC,CMR,NS,Audio,Multi-Cond,4,14,(41/30),STR,White,Box,500,37.92,17.2,0.3470,24.3888,36
77171,U1404H-9S1,PVC,CMR,NS,Audio,Multi-Cond,4,14,(41/30),STR,White,Spool,1000,,,0.3470,48.7780,
77676,U1404H-9C01,PVC,CMR,NS,Audio,Multi-Cond,4,14,(41/30),STR,White,Speed Bag,100,,,0.3470,4.8780,
77014,U1202H-7B5,PVC,CMR,NS,Audio,Multi-Cond,2,12,(65/34),STR,Purple,Box,500,,,0.3200,19.9550,60
77173,U1202H-0S1,PVC,CMR,NS,Audio,Multi-Cond,2,12,(65/34),STR,Black,Spool,1000,,,0.3200,39.9910,
77174,U1204H-7S5,PVC,CMR,NS,Audio,Multi-Cond,4,12,(65/34),STR,Purple,Spool,500,,,0.3400,39.2840,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77170,U1402SH-9B5,PVC,CMR,NS,Audio,Multi-Cond,2,14,(105/34),STR,White,Box,500,22.05,10,0.3060,12.1944,60
77172,U1404SH-9B5,PVC,CMR,NS,Audio,Multi-Cond,4,14,(105/34),STR,White,Box,500,39.24,17.8,0.3470,24.3888,36
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77015,C164244-0B5,PVC,CMR,NS,Audio/Data,Combo,12,16 & 24,(26/30),STR & SOL,Black ,Box,500,,,0.3900,15.4660,36
77175,C164244-0S1,PVC,CMR,NS,Audio/Data,Combo,12,16 & 24,(26/30),STR & SOL,Black ,Spool,1000,,,0.3900,30.9200,
77016,C164244-7B5,PVC,CMR,NS,Audio/Data,Combo,12,16 & 24,(26/30),STR & SOL,Purple,Box,500,40.34,18.3,0.3900,15.4660,36
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77176,C6Q1-241-9S1,PVC,CM,NS,CATV/Data,Combo,9,18 & 24,1 (1.024mm) & 1 (0.511mm),SOL CCS & BC,White,Spool,1000,,,0.4890,14.8500,12
77017,C6Q2242-5S5,PVC,CM,NS,CATV/Data,Combo,18,18 & 24,1 (1.024mm) & 1 (0.511mm),SOL CCS & BC,Green,Spool,500,,,0.6700,9.9410,12
77410,C6Q2242-6S5,PVC,CM,NS,CATV/Data,Combo,18,18 & 24,1 (1.024mm) & 1 (0.511mm),SOL CCS & BC,Blue,Spool,500,,,0.6700,9.9410,12
77177,C6Q2242-9S5,PVC,CM,NS,CATV/Data,Combo,18,18 & 24,1 (1.024mm) & 1 (0.511mm),SOL CCS & BC,White,Spool,500,,,0.6700,9.9410,12
77332,C6Q2242BC-9S5,PVC,CM,NS,CATV/Data,Combo,18,18 & 24,1 (1.024mm) & 1 (0.511mm),SOL BC & BC,White,Spool,500,,,0.6700,14.8600,12
,,,,,,,,,,,,,,,,,,
77018,C6Q2232-6S5,PVC,CM,NS,CATV/Data,Combo,18,18 & 23,,SOL CCS & BC,Blue ,Spool,500,,,0.6950,24.7800,12
77338,C6Q2232BC-6S5,PVC,CM,NS,CATV/Data,Combo,18,18 & 23,,SOL BC & BC,Blue ,Spool,500,,,0.6950,29.7800,12
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77019,G1401-5B5,PVC,CM,NS,CATV/Data,Combo,1,14,1 (1.630mm),SOL,Green,Box,500,,,0.1010,3.1330,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77512,U2404S-9C5,PVC,CMR,NS,Alarm/Control,Multi-Cond,4,24,1 (0.511mm),SOL,White,Speed Bag,500,,,0.1000,2.4866,
77386,U2404S-9B1,PVC,CMR,NS,Alarm/Control,Multi-Cond,4,24,1 (0.511mm),SOL,White,Box,1000,,,0.1000,4.9731,
77512,U2404-9C5,PVC,CMR,NS,Alarm/Control,Multi-Cond,4,24,(7/32),STR  ,White,Speed Bag,500,,,0.1000,2.6900,
77386,U2404-9B1,PVC,CMR,NS,Alarm/Control,Multi-Cond,4,24,(7/32),STR  ,White,Box,1000,,,0.1000,5.3829,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
